Gene	Category	Start	End	MaxLogFC	Expression	Direction	Upstream
rbsB	downregulated	3929637	3930528	-1.06133699408803	increased_insertions	reverse	
rbsK	knockout	3930653	3931583	1.06133699408803	increased_insertions	reverse	ravA__3prime
cyaA	knockout	3984512	3987059	2.30580142689189	increased_insertions	reverse	hemC__3prime
uvrD	knockout	3991342	3993505	1.46313102	increased_insertions	forward	uvrD__3prime
tatC	knockout	4016095	4016872	1.9689641622362	increased_insertions	nodirection	NA
trkH	knockout	4026504	4027956	1.4784544304176799	increased_insertions	nodirection	NA
metB	downregulated	4118599	4119760	-1.4449605650261799	increased_insertions	reverse	
metL	knockout	4119762	4122195	1.4449605650261799	increased_insertions	reverse	metJ__3prime
purH	knockout	4195870	4197460	1.12764628634979	increased_insertions	forward	rrsE
yjbI	knockout	4240630	4242211	-1.05412981810668	decreased_insertions	reverse	malE__3prime
yjbM	knockout	4250526	4251234	-1.0703717808125202	decreased_insertions	forward	dusA
soxS	upregulated	4266987	4267311	3.8585497320928903	increased_insertions	reverse	
soxR	over_50_perc_inactivation	4267396	4267861	3.8585497320928903	increased_insertions	reverse	soxS__3prime
yjcF	knockout	4271710	4273003	-1.34030065578706	decreased_insertions	forward	4275229_4275306
yjdP	unclassified	4303684	4304014	5.23473388765987	increased_insertions	forward	4307733_4307816
phnP	downregulated	4304160	4304919	-5.23473388765987	increased_insertions	forward	
ampC	upregulated	4367627	4368761	3.56854513709508	increased_insertions	reverse	
frdD	unclassified	4368823	4369183	3.56854513709508	increased_insertions	reverse	ampC__3prime
hflK	knockout	4391854	4393114	1.4840593528513	increased_insertions	nodirection	NA
hflC	knockout	4393116	4394121	1.27436973547192	increased_insertions	forward	hflC__3prime
cpdB	upregulated	4424438	4426382	1.22470850973957	increased_insertions	reverse	
cysQ	knockout	4426571	4427312	1.22470850973957	increased_insertions	reverse	cpdB__3prime
yjgL	knockout	4465253	4467068	-1.01705715854263	decreased_insertions	nodirection	NA
fimB	knockout	4530773	4531376	1.6811249360938898	increased_insertions	nodirection	NA
fimE	knockout	4531853	4532450	-1.6956261763943299	decreased_insertions	reverse	nanC__3prime
fimA	upregulated	4532931	4533480	1.57967220618695	decreased_insertions	forward	
fimI	knockout	4533544	4534084	1.07559452004709	increased_insertions	forward	fimI__3prime
fimC	knockout	4534120	4534846	1.3103012956622	increased_insertions	reverse	nanC__3prime
fimD	knockout	4534912	4537549	1.32543528675977	increased_insertions	nodirection	NA
mcrC	knockout	4566728	4567775	-1.22282144012462	decreased_insertions	forward	symR
yjjQ	upregulated	4593293	4594019	1.0807635728536802	decreased_insertions	forward	
creA	knockout	4625337	4625811	3.05409818841448	increased_insertions	reverse	rob__3prime
